Organism	Phylum	Identity%	E-value	QueryCoverage%	Score	Title
Escherichia coli	Proteobacteria	100.0	0.00e+00	99.7	1888.0	gb|EFD0314962.1| hypothetical protein [Escherichia coli] >gb|KDZ05295.1| putative membrane protein [Escherichia coli 2-4
Escherichia coli	Proteobacteria	100.0	0.00e+00	99.7	1887.0	ref|WP_021580867.1| O85 family O-antigen polymerase [Escherichia coli] >gb|EOW5788474.1| O85 family O-antigen polymerase
Escherichia coli	Proteobacteria	100.0	0.00e+00	98.4	1863.0	gb|ELS5671395.1| O85 family O-antigen polymerase [Escherichia coli]
Escherichia coli	Proteobacteria	100.0	0.00e+00	98.4	1858.0	tpg|HBH7386753.1| O85 family O-antigen polymerase [Escherichia coli]
Escherichia coli	Proteobacteria	100.0	0.00e+00	98.1	1853.0	gb|EFL6536842.1| O85 family O-antigen polymerase [Escherichia coli]
Escherichia coli	Proteobacteria	100.0	0.00e+00	97.6	1850.0	ref|WP_262837395.1| O85 family O-antigen polymerase, partial [Escherichia coli] >gb|MCU6257890.1| O85 family O-antigen p
Escherichia coli	Proteobacteria	100.0	0.00e+00	94.9	1795.0	gb|ELB2984778.1| O85 family O-antigen polymerase [Escherichia coli]
Escherichia coli	Proteobacteria	100.0	0.00e+00	94.6	1790.0	gb|EJV4859687.1| O85 family O-antigen polymerase [Escherichia coli]
Escherichia coli	Proteobacteria	100.0	0.00e+00	94.1	1778.0	ref|WP_170987616.1| O85 family O-antigen polymerase, partial [Escherichia coli]
Escherichia coli	Proteobacteria	100.0	0.00e+00	92.2	1746.0	tpg|HDW3657533.1| O85 family O-antigen polymerase [Escherichia coli]
Escherichia coli	Proteobacteria	100.0	0.00e+00	90.1	1710.0	tpg|HIW1611010.1| O85 family O-antigen polymerase [Escherichia coli]
Escherichia coli	Proteobacteria	100.0	0.00e+00	85.8	1627.0	gb|EOU6598637.1| O85 family O-antigen polymerase [Escherichia coli]
Escherichia coli	Proteobacteria	100.0	0.00e+00	84.4	1603.0	tpg|HHH7899711.1| O85 family O-antigen polymerase [Escherichia coli]
Escherichia coli	Proteobacteria	100.0	0.00e+00	83.9	1595.0	ref|WP_231347667.1| O85 family O-antigen polymerase, partial [Escherichia coli]
Escherichia coli	Proteobacteria	100.0	0.00e+00	83.6	1588.0	gb|EKF8958229.1| O85 family O-antigen polymerase [Escherichia coli]
Escherichia coli	Proteobacteria	100.0	0.00e+00	82.3	1564.0	gb|EFF3721349.1| O85 family O-antigen polymerase [Escherichia coli]
Escherichia coli	Proteobacteria	100.0	0.00e+00	81.2	1551.0	tpg|HCN9541574.1| O85 family O-antigen polymerase [Escherichia coli]
Escherichia coli	Proteobacteria	100.0	0.00e+00	80.6	1543.0	tpg|HAX2002059.1| O85 family O-antigen polymerase [Escherichia coli]
Escherichia coli	Proteobacteria	100.0	0.00e+00	79.3	1520.0	tpg|HHX8074289.1| O85 family O-antigen polymerase [Escherichia coli]
Escherichia coli	Proteobacteria	100.0	0.00e+00	75.8	1454.0	emb|CTR28892.1| O-antigen polymerase [Escherichia coli]
Escherichia coli	Proteobacteria	100.0	0.00e+00	75.8	1439.0	gb|TPC96792.1| hypothetical protein FIS41_20830 [Escherichia coli]
Escherichia coli	Proteobacteria	100.0	0.00e+00	70.4	1350.0	gb|EGO8988002.1| hypothetical protein [Escherichia coli]
Escherichia coli	Proteobacteria	100.0	1.03e-178	67.7	1306.0	tpg|HID6336458.1| O85 family O-antigen polymerase [Escherichia coli]
Escherichia coli	Proteobacteria	100.0	8.69e-178	67.5	1300.0	tpg|HBA9264673.1| O85 family O-antigen polymerase [Escherichia coli]
Escherichia coli	Proteobacteria	100.0	8.61e-177	66.9	1293.0	gb|ENJ4211552.1| O85 family O-antigen polymerase [Escherichia coli]
Escherichia coli	Proteobacteria	100.0	1.37e-170	65.1	1251.0	ref|WP_170995956.1| O85 family O-antigen polymerase, partial [Escherichia coli]
Escherichia coli	Proteobacteria	100.0	4.11e-153	58.6	1134.0	tpg|HCN7354553.1| O85 family O-antigen polymerase [Escherichia coli]
Escherichia coli	Proteobacteria	100.0	5.53e-149	58.9	1107.0	gb|EFE5707644.1| O85 family O-antigen polymerase [Escherichia coli]
Escherichia coli	Proteobacteria	100.0	6.73e-149	57.0	1106.0	tpg|HCQ6851816.1| O85 family O-antigen polymerase [Escherichia coli]
Escherichia coli	Proteobacteria	100.0	5.20e-148	58.6	1100.0	gb|EFK3427694.1| O85 family O-antigen polymerase [Escherichia coli]
Escherichia coli	Proteobacteria	100.0	1.39e-145	58.1	1084.0	tpg|HAX2342286.1| O85 family O-antigen polymerase [Escherichia coli]
Escherichia coli	Proteobacteria	100.0	8.90e-145	57.8	1079.0	gb|EQA0828817.1| O85 family O-antigen polymerase [Escherichia coli]
Escherichia coli	Proteobacteria	100.0	1.73e-139	54.6	1043.0	gb|EFN6982364.1| hypothetical protein [Escherichia coli]
Escherichia coli	Proteobacteria	100.0	3.11e-134	53.5	1008.0	gb|MED0529406.1| O85 family O-antigen polymerase [Escherichia coli]
Escherichia coli	Proteobacteria	100.0	2.77e-130	51.9	981.0	tpg|HBN6472763.1| O85 family O-antigen polymerase [Escherichia coli]
Escherichia coli	Proteobacteria	100.0	8.04e-114	46.5	871.0	gb|TPD39720.1| hypothetical protein FIS43_25615, partial [Escherichia coli]
Escherichia coli	Proteobacteria	100.0	3.03e-105	41.9	813.0	gb|MBO0265125.1| O85 family O-antigen polymerase [Escherichia coli]
Escherichia coli	Proteobacteria	100.0	2.69e-104	43.3	807.0	gb|MBO0262070.1| O85 family O-antigen polymerase [Escherichia coli]
Escherichia coli	Proteobacteria	100.0	5.48e-92	37.4	724.0	gb|EFE5709663.1| O85 family O-antigen polymerase [Escherichia coli]
