Organism	Phylum	Identity%	E-value	QueryCoverage%	Score	Title
Escherichia coli RDEC-1 (10f)	Proteobacteria	100.0	0.00e+00	99.7	1881.0	ref|WP_001004415.1| RecT family recombinase [Escherichia coli] >gb|EAM7854967.1| enterohemolysin [Salmonella enterica] >
Escherichia coli	Proteobacteria	99.7	0.00e+00	99.7	1877.0	gb|EKQ0554029.1| recombinase RecT [Escherichia coli] >gb|ENF3341686.1| recombinase RecT [Escherichia coli] >gb|ENO175958
Escherichia coli	Proteobacteria	99.7	0.00e+00	99.7	1877.0	tpg|HGC4035771.1| RecT family recombinase [Escherichia coli]
Escherichia coli	Proteobacteria	99.7	0.00e+00	99.7	1876.0	gb|EHH2639098.1| recombinase RecT [Escherichia coli] >gb|EIQ4555074.1| recombinase RecT [Escherichia coli] >gb|EIS678866
Escherichia coli	Proteobacteria	99.7	0.00e+00	99.7	1876.0	ref|WP_258784093.1| RecT family recombinase [Escherichia coli] >gb|MCS0750136.1| recombinase RecT [Escherichia coli] >tp
Escherichia coli	Proteobacteria	99.7	0.00e+00	99.7	1876.0	gb|MFV2912810.1| RecT family recombinase [Escherichia coli] >gb|MFV2996131.1| RecT family recombinase [Escherichia coli]
Escherichia coli	Proteobacteria	99.7	0.00e+00	99.7	1876.0	ref|WP_174617238.1| RecT family recombinase [Escherichia coli] >gb|QKQ16213.1| recombinase RecT [Escherichia coli]
Escherichia coli	Proteobacteria	99.7	0.00e+00	99.7	1875.0	ref|WP_021517972.1| RecT family recombinase [Escherichia coli] >gb|EFN7206532.1| enterohemolysin [Escherichia coli H1] >
Salmonella enterica subsp. enterica serovar Typhimurium	Proteobacteria	99.7	0.00e+00	99.7	1874.0	gb|EMC3550956.1| recombinase RecT [Salmonella enterica] >gb|ENE1217807.1| recombinase RecT [Salmonella enterica] >gb|EPF
Escherichia coli	Proteobacteria	99.7	0.00e+00	99.7	1873.0	gb|EQA4463223.1| RecT family recombinase [Escherichia coli]
Escherichia coli	Proteobacteria	99.7	0.00e+00	99.7	1872.0	tpg|HFU8032432.1| RecT family recombinase [Escherichia coli]
Escherichia coli	Proteobacteria	99.7	0.00e+00	99.1	1864.0	ref|WP_139502399.1| RecT family recombinase, partial [Escherichia coli]
Escherichia coli	Proteobacteria	99.4	0.00e+00	99.7	1874.0	tpg|HFB2118783.1| recombinase RecT [Escherichia coli]
Escherichia coli	Proteobacteria	99.4	0.00e+00	99.7	1873.0	gb|EIE2981756.1| recombinase RecT [Escherichia coli]
Escherichia coli	Proteobacteria	99.4	0.00e+00	99.7	1873.0	tpg|HAY3968536.1| recombinase RecT [Escherichia coli] >tpg|HCI8386939.1| recombinase RecT [Escherichia coli]
Escherichia coli	Proteobacteria	99.4	0.00e+00	99.7	1872.0	gb|EFN4638630.1| recombinase RecT [Escherichia coli] >gb|MCV0498034.1| recombinase RecT [Escherichia coli]
Escherichia coli	Proteobacteria	99.4	0.00e+00	99.7	1872.0	ref|WP_258272810.1| RecT family recombinase [Escherichia coli] >gb|EEX3244843.1| recombinase RecT [Escherichia coli] >gb
