Gene,Annotation,Present_ST354,Absent_ST354,Present_Other,Absent_Other,Sensitivity,Specificity,Odds_Ratio,P_Value,Is_Priority_Candidate,Rank,FDR_Q_Value
flgG_2,Flagellar basal-body rod protein FlgG,27,1,0,3,0.9642857142857143,1.0,inf,0.0008898776418242493,No,49,0.16678849515334504
hyi_1,Hydroxypyruvate isomerase,27,1,0,3,0.9642857142857143,1.0,inf,0.0008898776418242493,No,50,0.16345272525027812
fliR_2,Flagellar biosynthetic protein FliR,27,1,0,3,0.9642857142857143,1.0,inf,0.0008898776418242493,No,51,0.16024776985321385
dan,D-aminoacylase,27,1,0,3,0.9642857142857143,1.0,inf,0.0008898776418242493,No,52,0.1571660819714213
group_188,hypothetical protein,27,1,0,3,0.9642857142857143,1.0,inf,0.0008898776418242493,No,53,0.1542006841983756
mleN,Malate-2H(+)/Na(+)-lactate antiporter,27,1,0,3,0.9642857142857143,1.0,inf,0.0008898776418242493,No,54,0.15134511597247974
scrB,Sucrose-6-phosphate hydrolase,27,1,0,3,0.9642857142857143,1.0,inf,0.0008898776418242493,No,55,0.14859338659116195
yflS,Putative malate transporter YflS,27,1,0,3,0.9642857142857143,1.0,inf,0.0008898776418242493,No,56,0.1459399332591769
group_205,hypothetical protein,27,1,0,3,0.9642857142857143,1.0,inf,0.0008898776418242493,No,57,0.14337958355287556
xylP,Isoprimeverose transporter,27,1,0,3,0.9642857142857143,1.0,inf,0.0008898776418242493,No,58,0.14090752176748114
flgE_2,Flagellar hook protein FlgE,27,1,0,3,0.9642857142857143,1.0,inf,0.0008898776418242493,No,59,0.1385192586866764
glxK_1,Glycerate 3-kinase,27,1,0,3,0.9642857142857143,1.0,inf,0.0008898776418242493,No,60,0.13621060437523178
flhB_2,Flagellar biosynthetic protein FlhB,27,1,0,3,0.9642857142857143,1.0,inf,0.0008898776418242493,No,61,0.13397764364776896
cfaE,CFA/I fimbrial subunit E,27,1,0,3,0.9642857142857143,1.0,inf,0.0008898776418242493,No,62,0.13181671391151462
yehL_1,putative protein YehL,27,1,0,3,0.9642857142857143,1.0,inf,0.0008898776418242493,No,63,0.12972438511926834
pgaC,Poly-beta-16-N-acetyl-D-glucosamine synthase,1,27,3,0,0.03571428571428571,0.0,0.0,0.0008898776418242493,No,64,0.1276974416017798
group_424,hypothetical protein,27,1,0,3,0.9642857142857143,1.0,inf,0.0008898776418242493,No,65,0.12573286557713703
group_418,hypothetical protein,27,1,0,3,0.9642857142857143,1.0,inf,0.0008898776418242493,No,66,0.12382782215930162
fruR,Fructose operon regulatory protein,27,1,0,3,0.9642857142857143,1.0,inf,0.0008898776418242493,No,67,0.12197964570916278
fliG_2,Flagellar motor switch protein FliG,27,1,0,3,0.9642857142857143,1.0,inf,0.0008898776418242493,No,68,0.12018582738991039
group_379,hypothetical protein,27,1,0,3,0.9642857142857143,1.0,inf,0.0008898776418242493,No,69,0.11844400380454936
group_367,hypothetical protein,27,1,0,3,0.9642857142857143,1.0,inf,0.0008898776418242493,No,70,0.11675194660734152
dhaK_1,PEP-dependent dihydroxyacetone kinase dihydroxyacetone-binding subunit DhaK,27,1,0,3,0.9642857142857143,1.0,inf,0.0008898776418242493,No,71,0.11510755299315362
lpfD,putative minor fimbrial subunit LpfD,27,1,0,3,0.9642857142857143,1.0,inf,0.0008898776418242493,No,72,0.11350883697935982
dhaD,Glycerol dehydrogenase,27,1,0,3,0.9642857142857143,1.0,inf,0.0008898776418242493,No,73,0.11195392140430009
group_1035,hypothetical protein,27,1,0,3,0.9642857142857143,1.0,inf,0.0008898776418242493,No,74,0.11044103057451225
group_1032,hypothetical protein,27,1,0,3,0.9642857142857143,1.0,inf,0.0008898776418242493,No,75,0.10896848350018541
group_1020,hypothetical protein,27,1,0,3,0.9642857142857143,1.0,inf,0.0008898776418242493,No,76,0.10753468766465667
group_1019,hypothetical protein,27,1,0,3,0.9642857142857143,1.0,inf,0.0008898776418242493,No,77,0.10613813327940139
group_992,hypothetical protein,27,1,0,3,0.9642857142857143,1.0,inf,0.0008898776418242493,No,78,0.10477738798094752
group_956,hypothetical protein,27,1,0,3,0.9642857142857143,1.0,inf,0.0008898776418242493,No,79,0.10345109193055578
yadM,putative fimbrial-like protein YadM,27,1,0,3,0.9642857142857143,1.0,inf,0.0008898776418242493,No,80,0.10215795328142382
fimA_3,Type-1 fimbrial protein A chain,27,1,0,3,0.9642857142857143,1.0,inf,0.0008898776418242493,No,81,0.10089674398165316
group_889,IS4 family transposase ISEc13,27,1,0,3,0.9642857142857143,1.0,inf,0.0008898776418242493,No,82,0.09966629588431593
group_887,hypothetical protein,27,1,0,3,0.9642857142857143,1.0,inf,0.0008898776418242493,No,83,0.09846549713872177
group_868,hypothetical protein,27,1,0,3,0.9642857142857143,1.0,inf,0.0008898776418242493,No,84,0.09729328883945126
dhaL_1,PEP-dependent dihydroxyacetone kinase ADP-binding subunit DhaL,27,1,0,3,0.9642857142857143,1.0,inf,0.0008898776418242493,No,85,0.09614866191192831
group_794,hypothetical protein,27,1,0,3,0.9642857142857143,1.0,inf,0.0008898776418242493,No,86,0.09503065421527798
group_782,hypothetical protein,27,1,0,3,0.9642857142857143,1.0,inf,0.0008898776418242493,No,87,0.09393834784498743
group_755,hypothetical protein,27,1,0,3,0.9642857142857143,1.0,inf,0.0008898776418242493,No,88,0.0928708666194762
faeE,Chaperone protein FaeE,27,1,0,3,0.9642857142857143,1.0,inf,0.0008898776418242493,No,89,0.09182737373611131
rspR_2,HTH-type transcriptional repressor RspR,27,1,0,3,0.9642857142857143,1.0,inf,0.0008898776418242493,No,90,0.09080706958348785
group_480,hypothetical protein,27,1,0,3,0.9642857142857143,1.0,inf,0.0008898776418242493,No,91,0.08980918969795501
flgL_2,Flagellar hook-associated protein 3,27,1,0,3,0.9642857142857143,1.0,inf,0.0008898776418242493,No,92,0.08883300285341203
group_475,hypothetical protein,27,1,0,3,0.9642857142857143,1.0,inf,0.0008898776418242493,No,93,0.08787780927434308
group_452,2-ketogluconate reductase,27,1,0,3,0.9642857142857143,1.0,inf,0.0008898776418242493,No,94,0.0869429389629139
group_438,hypothetical protein,27,1,0,3,0.9642857142857143,1.0,inf,0.0008898776418242493,No,95,0.08602775013172533
fleR,Response regulator protein FleR,27,1,0,3,0.9642857142857143,1.0,inf,0.0008898776418242493,No,96,0.08513162773451986
group_709,hypothetical protein,27,1,0,3,0.9642857142857143,1.0,inf,0.0008898776418242493,No,97,0.08425398208777223
group_708,Aspartate racemase,27,1,0,3,0.9642857142857143,1.0,inf,0.0008898776418242493,No,98,0.08339424757667252
group_723,hypothetical protein,27,1,0,3,0.9642857142857143,1.0,inf,0.0008898776418242493,No,99,0.0825518814395344
group_719,hypothetical protein,27,1,0,3,0.9642857142857143,1.0,inf,0.0008898776418242493,No,100,0.08172636262513906
lafS,RNA polymerase sigma factor for flagellar operon,27,1,0,3,0.9642857142857143,1.0,inf,0.0008898776418242493,No,101,0.08091719071795947
group_685,hypothetical protein,27,1,0,3,0.9642857142857143,1.0,inf,0.0008898776418242493,No,102,0.08012388492660692
fliS_2,Flagellar secretion chaperone FliS,27,1,0,3,0.9642857142857143,1.0,inf,0.0008898776418242493,No,103,0.07934598313120297
rutC_2,3-aminoacrylate deaminase RutC,27,1,0,3,0.9642857142857143,1.0,inf,0.0008898776418242493,No,104,0.07858304098571064
fliN_2,Flagellar motor switch protein FliN,27,1,0,3,0.9642857142857143,1.0,inf,0.0008898776418242493,No,105,0.07783463107156101
group_1379,hypothetical protein,27,1,0,3,0.9642857142857143,1.0,inf,0.0008898776418242493,No,106,0.0771003420991878
group_1420,hypothetical protein,27,1,0,3,0.9642857142857143,1.0,inf,0.0008898776418242493,No,107,0.07637977815433557
fliE_2,Flagellar hook-basal body complex protein FliE,27,1,0,3,0.9642857142857143,1.0,inf,0.0008898776418242493,No,108,0.07567255798623987
flgB_2,Flagellar basal body rod protein FlgB,27,1,0,3,0.9642857142857143,1.0,inf,0.0008898776418242493,No,109,0.07497831433498997
group_1485,hypothetical protein,27,1,0,3,0.9642857142857143,1.0,inf,0.0008898776418242493,No,110,0.07429669329558097
yjgL_2,putative protein YjgL,27,1,0,3,0.9642857142857143,1.0,inf,0.0008898776418242493,No,111,0.07362735371634149
group_1516,hypothetical protein,27,1,0,3,0.9642857142857143,1.0,inf,0.0008898776418242493,No,112,0.07296996662958845
group_1678,hypothetical protein,27,1,0,3,0.9642857142857143,1.0,inf,0.0008898776418242493,No,113,0.07232421471251245
group_1679,hypothetical protein,27,1,0,3,0.9642857142857143,1.0,inf,0.0008898776418242493,No,114,0.07168979177643778
group_1708,hypothetical protein,27,1,0,3,0.9642857142857143,1.0,inf,0.0008898776418242493,No,115,0.07106640228272962
group_636,hypothetical protein,27,1,0,3,0.9642857142857143,1.0,inf,0.0008898776418242493,No,116,0.07045376088374057
group_656,hypothetical protein,27,1,0,3,0.9642857142857143,1.0,inf,0.0008898776418242493,No,117,0.06985159198729834
fliP_2,Flagellar biosynthetic protein FliP,27,1,0,3,0.9642857142857143,1.0,inf,0.0008898776418242493,No,118,0.0692596293433382
relE,mRNA interferase toxin RelE,27,1,0,3,0.9642857142857143,1.0,inf,0.0008898776418242493,No,119,0.06867761565137737
group_1662,hypothetical protein,27,1,0,3,0.9642857142857143,1.0,inf,0.0008898776418242493,No,120,0.06810530218761589
group_671,hypothetical protein,27,1,0,3,0.9642857142857143,1.0,inf,0.0008898776418242493,No,121,0.06754244845052815
flgH_2,Flagellar L-ring protein,27,1,0,3,0.9642857142857143,1.0,inf,0.0008898776418242493,No,122,0.06698882182388448
ibeA,putative intracellular survival FAD-dependent oxidoreductase IbeA,27,1,0,3,0.9642857142857143,1.0,inf,0.0008898776418242493,No,123,0.06644419725621062
sacP_1,PTS system sucrose-specific EIIBC component,27,1,0,3,0.9642857142857143,1.0,inf,0.0008898776418242493,No,124,0.06590835695575731
group_208,hypothetical protein,27,1,0,3,0.9642857142857143,1.0,inf,0.0008898776418242493,No,125,0.06538109010011126
dcuD_3,Putative cryptic C4-dicarboxylate transporter DcuD,27,1,0,3,0.9642857142857143,1.0,inf,0.0008898776418242493,No,126,0.06486219255963417
recF_1,DNA replication and repair protein RecF,27,1,0,3,0.9642857142857143,1.0,inf,0.0008898776418242493,No,127,0.06435146663396776
fliI_2,Flagellum-specific ATP synthase,27,1,0,3,0.9642857142857143,1.0,inf,0.0008898776418242493,No,128,0.0638487208008899
group_2860,hypothetical protein,27,1,0,3,0.9642857142857143,1.0,inf,0.0008898776418242493,No,129,0.06335376947685199
relB,Antitoxin RelB,27,1,0,3,0.9642857142857143,1.0,inf,0.0008898776418242493,No,130,0.06286643278856852
group_1840,hypothetical protein,27,1,0,3,0.9642857142857143,1.0,inf,0.0008898776418242493,No,131,0.06238653635506799
group_1863,hypothetical protein,27,1,0,3,0.9642857142857143,1.0,inf,0.0008898776418242493,No,132,0.06191391107965081
group_1882,hypothetical protein,27,1,0,3,0.9642857142857143,1.0,inf,0.0008898776418242493,No,133,0.06144839295123238
group_1894,hypothetical protein,27,1,0,3,0.9642857142857143,1.0,inf,0.0008898776418242493,No,134,0.06098982285458139
group_2719,hypothetical protein,27,1,0,3,0.9642857142857143,1.0,inf,0.0008898776418242493,No,135,0.0605380463889919
flgF_2,Flagellar basal-body rod protein FlgF,27,1,0,3,0.9642857142857143,1.0,inf,0.0008898776418242493,No,136,0.060092913694955195
group_2653,hypothetical protein,27,1,0,3,0.9642857142857143,1.0,inf,0.0008898776418242493,No,137,0.05965427928842267
group_2644,hypothetical protein,27,1,0,3,0.9642857142857143,1.0,inf,0.0008898776418242493,No,138,0.05922200190227468
ttuB,Putative tartrate transporter,27,1,0,3,0.9642857142857143,1.0,inf,0.0008898776418242493,No,139,0.05879594433463242
siaQ,Sialic acid TRAP transporter small permease protein SiaQ,27,1,0,3,0.9642857142857143,1.0,inf,0.0008898776418242493,No,140,0.05837597330367076
group_2680,hypothetical protein,27,1,0,3,0.9642857142857143,1.0,inf,0.0008898776418242493,No,141,0.057961959308609264
group_2677,hypothetical protein,27,1,0,3,0.9642857142857143,1.0,inf,0.0008898776418242493,No,142,0.05755377649657681
iaaA_2,Isoaspartyl peptidase,27,1,0,3,0.9642857142857143,1.0,inf,0.0008898776418242493,No,143,0.05715130253506228
rep_3,ATP-dependent DNA helicase Rep,27,1,0,3,0.9642857142857143,1.0,inf,0.0008898776418242493,No,144,0.05675441848967991
tacT2,tRNA-acetylating toxin 2,27,1,0,3,0.9642857142857143,1.0,inf,0.0008898776418242493,No,145,0.05636300870699246
group_2617,hypothetical protein,27,1,0,3,0.9642857142857143,1.0,inf,0.0008898776418242493,No,146,0.055976960702150046
group_2618,hypothetical protein,27,1,0,3,0.9642857142857143,1.0,inf,0.0008898776418242493,No,147,0.05559616505111501
gcl_1,Glyoxylate carboligase,27,1,0,3,0.9642857142857143,1.0,inf,0.0008898776418242493,No,148,0.055220515287256126
yraJ,Outer membrane usher protein YraJ,27,1,0,3,0.9642857142857143,1.0,inf,0.0008898776418242493,No,149,0.05484990780210675
dgoT_1_dgoT_2,D-galactonate transporter,27,1,0,3,0.9642857142857143,1.0,inf,0.0008898776418242493,No,150,0.054484241750092706
dgt_1,putative deoxyguanosinetriphosphate triphosphohydrolase,27,1,0,3,0.9642857142857143,1.0,inf,0.0008898776418242493,No,151,0.05412341895704574
eilA,HilA family transcriptional regulator EilA,27,1,0,3,0.9642857142857143,1.0,inf,0.0008898776418242493,No,152,0.05376734383232833
caiT_2,L-carnitine/gamma-butyrobetaine antiporter,27,1,0,3,0.9642857142857143,1.0,inf,0.0008898776418242493,No,153,0.053415923284404615
group_151,hypothetical protein,27,1,0,3,0.9642857142857143,1.0,inf,0.0008898776418242493,No,154,0.05306906663970069
tacA2,Antitoxin TacA2,27,1,0,3,0.9642857142857143,1.0,inf,0.0008898776418242493,No,155,0.05272668556460585
group_1553,hypothetical protein,27,1,0,3,0.9642857142857143,1.0,inf,0.0008898776418242493,No,156,0.05238869399047376
group_1552,hypothetical protein,27,1,0,3,0.9642857142857143,1.0,inf,0.0008898776418242493,No,157,0.05205500804148985
group_1543,hypothetical protein,27,1,0,3,0.9642857142857143,1.0,inf,0.0008898776418242493,No,158,0.05172554596527789
group_1542,hypothetical protein,27,1,0,3,0.9642857142857143,1.0,inf,0.0008898776418242493,No,159,0.051400228066125195
group_1523,hypothetical protein,27,1,0,3,0.9642857142857143,1.0,inf,0.0008898776418242493,No,160,0.05107897664071191
group_1197,hypothetical protein,27,1,0,3,0.9642857142857143,1.0,inf,0.0008898776418242493,No,161,0.05076171591623544
group_1142,hypothetical protein,27,1,0,3,0.9642857142857143,1.0,inf,0.0008898776418242493,No,162,0.05044837199082658
sicA_2,Chaperone protein SicA,27,1,0,3,0.9642857142857143,1.0,inf,0.0008898776418242493,No,163,0.05013887277615894
cfaB,CFA/I fimbrial subunit B,27,1,0,3,0.9642857142857143,1.0,inf,0.0008898776418242493,No,164,0.049833147942157964
group_2609,Toxin-antitoxin biofilm protein TabA,27,1,0,3,0.9642857142857143,1.0,inf,0.0008898776418242493,No,165,0.049531128863720644
group_2604,Putative transporter YdfJ,27,1,0,3,0.9642857142857143,1.0,inf,0.0008898776418242493,No,166,0.049232748569360885
group_2598,hypothetical protein,27,1,0,3,0.9642857142857143,1.0,inf,0.0008898776418242493,No,167,0.048937941691700036
air,inverse autotransporter adhesin EaeX/Air,27,1,0,3,0.9642857142857143,1.0,inf,0.0008898776418242493,No,168,0.04864664441972563
dhaR_1,PTS-dependent dihydroxyacetone kinase operon regulatory protein,27,1,0,3,0.9642857142857143,1.0,inf,0.0008898776418242493,No,169,0.04835879445274501
group_2561,hypothetical protein,27,1,0,3,0.9642857142857143,1.0,inf,0.0008898776418242493,No,170,0.048074330955964154
group_2556,hypothetical protein,27,1,0,3,0.9642857142857143,1.0,inf,0.0008898776418242493,No,171,0.04779319451762518
focC_2,Chaperone protein FocC,27,1,0,3,0.9642857142857143,1.0,inf,0.0008898776418242493,No,172,0.04751532710763899
group_2474,Galactonate operon transcriptional repressor,27,1,0,3,0.9642857142857143,1.0,inf,0.0008898776418242493,No,173,0.047240672037652635
group_2238,hypothetical protein,27,1,0,3,0.9642857142857143,1.0,inf,0.0008898776418242493,No,174,0.046969173922493716
group_2236,hypothetical protein,27,1,0,3,0.9642857142857143,1.0,inf,0.0008898776418242493,No,175,0.046700778642936605
group_2230,hypothetical protein,27,1,0,3,0.9642857142857143,1.0,inf,0.0008898776418242493,No,176,0.0464354333097381
group_2227,hypothetical protein,27,1,0,3,0.9642857142857143,1.0,inf,0.0008898776418242493,No,177,0.04617308622889213
group_2204,hypothetical protein,27,1,0,3,0.9642857142857143,1.0,inf,0.0008898776418242493,No,178,0.04591368686805566
group_2176,hypothetical protein,27,1,0,3,0.9642857142857143,1.0,inf,0.0008898776418242493,No,179,0.045657185824100034
group_2157,hypothetical protein,27,1,0,3,0.9642857142857143,1.0,inf,0.0008898776418242493,No,180,0.04540353479174392
group_2153,hypothetical protein,27,1,0,3,0.9642857142857143,1.0,inf,0.0008898776418242493,No,181,0.045152686533226
group_2146,hypothetical protein,27,1,0,3,0.9642857142857143,1.0,inf,0.0008898776418242493,No,182,0.044904594848977505
group_2099,hypothetical protein,27,1,0,3,0.9642857142857143,1.0,inf,0.0008898776418242493,No,183,0.04465921454925632
group_2068,hypothetical protein,27,1,0,3,0.9642857142857143,1.0,inf,0.0008898776418242493,No,184,0.044416501426706015
group_2018,hypothetical protein,27,1,0,3,0.9642857142857143,1.0,inf,0.0008898776418242493,No,185,0.0441764122298049
group_1909,Insertion element IS6110 uncharacterized 12.0 kDa protein,27,1,0,3,0.9642857142857143,1.0,inf,0.0008898776418242493,No,186,0.04393890463717154
tagD,Glycerol-3-phosphate cytidylyltransferase,27,1,0,3,0.9642857142857143,1.0,inf,0.0008898776418242493,No,187,0.04370393723269469
group_1246,hypothetical protein,27,1,0,3,0.9642857142857143,1.0,inf,0.0008898776418242493,No,188,0.04347146948145695
flgC_2,Flagellar basal-body rod protein FlgC,27,1,0,3,0.9642857142857143,1.0,inf,0.0008898776418242493,No,189,0.04324146170642278
group_1235,hypothetical protein,27,1,0,3,0.9642857142857143,1.0,inf,0.0008898776418242493,No,190,0.04301387506586266
group_1219,hypothetical protein,27,1,0,3,0.9642857142857143,1.0,inf,0.0008898776418242493,No,191,0.04278867153148642
group_1206,hypothetical protein,27,1,0,3,0.9642857142857143,1.0,inf,0.0008898776418242493,No,192,0.04256581386725993
opuE,Osmoregulated proline transporter OpuE,27,1,0,3,0.9642857142857143,1.0,inf,0.0008898776418242493,No,193,0.04234526560888034
group_174,hypothetical protein,27,1,0,3,0.9642857142857143,1.0,inf,0.0008898776418242493,No,194,0.04212699104388611
fliF_2,Flagellar M-ring protein,27,1,0,3,0.9642857142857143,1.0,inf,0.0008898776418242493,No,195,0.04191095519237901
group_142,hypothetical protein,27,1,0,3,0.9642857142857143,1.0,inf,0.0008898776418242493,No,196,0.04169712378833626
scrY,Sucrose porin,27,1,0,3,0.9642857142857143,1.0,inf,0.0008898776418242493,No,197,0.04148546326149191
group_2882,Prophage integrase IntA,26,2,0,3,0.9285714285714286,1.0,inf,0.0022246941045606233,No,198,0.103189851799418
group_2696,hypothetical protein,26,2,0,3,0.9285714285714286,1.0,inf,0.0022246941045606233,No,199,0.1026713098305767
group_415,hypothetical protein,26,2,0,3,0.9285714285714286,1.0,inf,0.0022246941045606233,No,200,0.10215795328142382
dcuB_3,Anaerobic C4-dicarboxylate transporter DcuB,26,2,0,3,0.9285714285714286,1.0,inf,0.0022246941045606233,No,201,0.10164970475763564
epsF,Type II secretion system protein F,26,2,0,3,0.9285714285714286,1.0,inf,0.0022246941045606233,No,202,0.10114648839744933
ansB_1_ansB_2,L-asparaginase 2,26,2,0,3,0.9285714285714286,1.0,inf,0.0022246941045606233,No,203,0.1006482298339151
epsH,Type II secretion system protein H,26,2,0,3,0.9285714285714286,1.0,inf,0.0022246941045606233,No,204,0.10015485615825866
group_4566,Beta-lactamase,26,2,0,3,0.9285714285714286,1.0,inf,0.0022246941045606233,No,205,0.09966629588431593
group_582,hypothetical protein,26,2,0,3,0.9285714285714286,1.0,inf,0.0022246941045606233,No,206,0.09918247891400371
group_419,hypothetical protein,26,2,0,3,0.9285714285714286,1.0,inf,0.0022246941045606233,No,207,0.09870333650379114
dgoK_3,2-dehydro-3-deoxygalactonokinase,26,2,0,3,0.9285714285714286,1.0,inf,0.0022246941045606233,No,208,0.0982288012321383
nanM_1,N-acetylneuraminate epimerase,26,2,0,3,0.9285714285714286,1.0,inf,0.0022246941045606233,No,209,0.09775880696786969
group_1763,hypothetical protein,26,2,0,3,0.9285714285714286,1.0,inf,0.0022246941045606233,No,210,0.09729328883945126
nanM_2,N-acetylneuraminate epimerase,26,2,0,3,0.9285714285714286,1.0,inf,0.0022246941045606233,No,211,0.09683218320514107
dcuR_2,Transcriptional regulatory protein DcuR,26,2,0,3,0.9285714285714286,1.0,inf,0.0022246941045606233,No,212,0.09637542762398474
group_3238,Type II secretion system protein I,26,2,0,3,0.9285714285714286,1.0,inf,0.0022246941045606233,No,213,0.09592296082762801
group_3161,Type II secretion system protein J,26,2,0,3,0.9285714285714286,1.0,inf,0.0022246941045606233,No,214,0.09547472269291947
group_813,hypothetical protein,26,2,0,3,0.9285714285714286,1.0,inf,0.0022246941045606233,No,215,0.09503065421527798
